s1,µA1,s2,µA2,s3,µA3,s4,µA4,Sensor 1 y(0.1),Sensor 2 y(0.1),Sensor 3 y(0.1),Sensor 4 y(0.1),Sensor 1 y(0.01),Sensor 2 y(0.01),Sensor 3 y(0.01),Sensor 4 y(0.01),Sensor 1 y(0.001),Sensor 2 y(0.001),Sensor 3 y(0.001),Sensor 4 y(0.001)
11.0,0.013113,11.0,0.921493,11.0,2.61713,11.0,31.0496,0.0118017,0.8270548999999999,2.353513,27.91752,0.01298187,0.90947429,2.5886263,30.705882,0.013099887,0.917716229,2.61213763,30.984718199999996
11.25,0.013113,11.25,0.925784,11.25,2.61904,11.25,31.0725,0.0118017,0.8297728,2.355608,27.946930000000002,0.01298187,0.9123209800000001,2.5909777999999997,30.739333000000002,0.013099887,0.920575798,2.61451478,31.018573300000003
11.5,0.013113,11.5,0.92483,11.5,2.6219,11.5,31.0429,0.0118017,0.8331102000000001,2.357422,27.96229,0.01298187,0.9165166200000001,2.5928782,30.761479,0.013099887,0.9248572620000001,2.61642382,31.0413979
11.75,0.013113,11.75,0.928168,11.75,2.61904,11.75,31.02,0.0118017,0.8326808000000001,2.359424,27.936320000000002,0.01298187,0.91561508,2.5956524,30.732242,0.013099887,0.923908508,2.6192752400000003,31.0118342
12.0,0.013113,12.0,0.92483,12.0,2.61475,12.0,31.0014,0.0118017,0.8350173999999999,2.356707,27.91614,0.01298187,0.9188529400000001,2.5928067,30.709614,0.013099887,0.9272364940000001,2.61641667,30.988961399999997
12.25,0.013113,12.25,0.920539,12.25,2.61713,12.25,30.9728,0.0118017,0.8319179000000001,2.353513,27.898400000000002,0.01298187,0.91553879,2.5886263,30.691100000000002,0.013099887,0.9239008790000001,2.61213763,30.97037
12.5,0.013113,12.5,0.921016,12.5,2.61427,12.5,30.9981,0.0118017,0.8285328,2.355131,27.87805,0.01298187,0.91133838,2.5909301,30.663325,0.013099887,0.919618938,2.61451001,30.9418525
12.75,0.013113,12.75,0.9203,12.75,2.61522,12.75,30.9561,0.0118017,0.8288428,2.352938,27.894090000000002,0.01298187,0.91179868,2.5881368,30.687699000000002,0.013099887,0.9200942679999999,2.61165668,30.9670599
13.0,0.013113,13.0,0.920062,13.0,2.61713,13.0,31.0053,0.0118017,0.8282462,2.353889,27.865409999999997,0.01298187,0.9110946200000001,2.5890869,30.647031000000002,0.013099887,0.919379462,2.61260669,30.925193099999998
13.25,0.013113,13.25,0.919585,13.25,2.61713,13.25,30.9814,0.0118017,0.8280081,2.355417,27.90238,0.01298187,0.9108566100000001,2.5909587,30.695007999999998,0.013099887,0.9191414609999999,2.61451287,30.9742708
13.5,0.013113,13.5,0.918393,13.5,2.61558,13.5,30.9852,0.0118017,0.8275073000000001,2.355262,27.88364,0.01298187,0.9103772299999999,2.5909432,30.671624,0.013099887,0.918664223,2.61451132,30.9504224
13.75,0.013113,13.75,0.917201,13.75,2.61379,13.75,30.9914,0.0118017,0.8264345000000001,2.353843,27.8873,0.01298187,0.9091971499999999,2.5894063,30.67541,0.013099887,0.917473415,2.61296263,30.954221
14.0,0.013113,14.0,0.916724,14.0,2.61427,14.0,30.9986,0.0118017,0.8254332000000001,2.352459,27.89298,0.01298187,0.90802422,2.5876569,30.681558,0.013099887,0.916283322,2.61117669,30.960415799999996
14.25,0.013113,14.25,0.918632,14.25,2.61391,14.25,31.0167,0.0118017,0.8252424,2.352807,27.90055,0.01298187,0.9075758399999999,2.5881237,30.688795000000002,0.013099887,0.915809184,2.61165537,30.967619499999998
14.5,0.013113,14.5,0.916247,14.5,2.61379,14.5,31.032,0.0118017,0.8265302999999999,2.352507,27.91656,0.01298187,0.90942183,2.5877697000000004,30.706686,0.013099887,0.917710983,2.61129597,30.985698600000003
14.75,0.013113,14.75,0.918632,14.75,2.61379,14.75,30.9685,0.0118017,0.8248608000000001,2.352411,27.922449999999998,0.01298187,0.90710838,2.5876520999999997,30.721045,0.013099887,0.915333138,2.61117621,31.0009045
15.0,0.013113,15.0,0.917201,15.0,2.6126,15.0,31.0248,0.0118017,0.8266257,2.3522920000000003,27.87728,0.01298187,0.9094313700000001,2.5876401999999996,30.659377999999997,0.013099887,0.917711937,2.61117502,30.9375878
15.25,0.013113,15.25,0.918632,15.25,2.61093,15.25,31.0005,0.0118017,0.825624,2.351173,27.91989,0.01298187,0.9080433,2.5864572999999997,30.714308999999997,0.013099887,0.9162852300000001,2.60998573,30.9937509
15.5,0.013113,15.5,0.917678,15.5,2.61189,15.5,31.011,0.0118017,0.8266734,2.3499330000000005,27.9015,0.01298187,0.9094361400000001,2.5848303,30.6906,0.013099887,0.917712414,2.6083200300000002,30.969509999999996
15.75,0.013113,15.75,0.916247,15.75,2.60998,15.75,31.0219,0.0118017,0.8257671000000001,2.35051,27.91099,0.01298187,0.90848691,2.585752,30.700998999999996,0.013099887,0.916758891,2.6092762,30.9799999
16.0,0.013113,16.0,0.917201,16.0,2.61284,16.0,30.9967,0.0118017,0.8247177,2.3492680000000004,27.917189999999998,0.01298187,0.90709407,2.5839088,30.711429,0.013099887,0.915331707,2.6073728800000002,30.9908529
16.25,0.013113,16.25,0.917201,16.25,2.6157,16.25,30.9766,0.0118017,0.8254809000000001,2.351842,27.895020000000002,0.01298187,0.90802899,2.5867401999999995,30.686532,0.013099887,0.916283799,2.61023002,30.9656832
16.5,0.013113,16.5,0.915771,16.5,2.60998,16.5,30.9519,0.0118017,0.8253379000000001,2.353558,27.87647,0.01298187,0.90801469,2.5894858,30.666587,0.013099887,0.916282369,2.61307858,30.9455987
16.75,0.013113,16.75,0.917201,16.75,2.61522,16.75,30.9571,0.0118017,0.8243369,2.3495060000000003,27.85723,0.01298187,0.90662759,2.5839326000000002,30.642432999999997,0.013099887,0.914856659,2.6073752600000004,30.920953299999997
17.0,0.013113,17.0,0.918632,17.0,2.61284,17.0,30.9486,0.0118017,0.825624,2.35346,27.86054,0.01298187,0.9080433,2.589044,30.647444,0.013099887,0.9162852300000001,2.6126023999999997,30.926134400000002
17.25,0.013113,17.25,0.919108,17.25,2.61332,17.25,30.9457,0.0118017,0.8268164,2.351604,27.85345,0.01298187,0.9094504400000001,2.5867164,30.639084999999998,0.013099887,0.917713844,2.61022764,30.917648500000002
17.5,0.013113,17.5,0.919585,17.5,2.61427,17.5,30.9399,0.0118017,0.8272449000000001,2.352083,27.85055,0.01298187,0.90992169,2.5871963,30.636184999999998,0.013099887,0.9181893690000001,2.61070763,30.914748499999998
17.75,0.013113,17.75,0.920539,17.75,2.61522,17.75,30.9614,0.0118017,0.8277219,2.352938,27.848060000000004,0.01298187,0.91039869,2.5881368,30.630716000000003,0.013099887,0.918666369,2.61165668,30.9089816
18.0,0.013113,18.0,0.919108,18.0,2.61427,18.0,30.9094,0.0118017,0.828342,2.353603,27.860060000000004,0.01298187,0.9113193,2.5890583,30.651266,0.013099887,0.91961703,2.61260383,30.930386600000002
18.25,0.013113,18.25,0.920062,18.25,2.61427,18.25,30.9256,0.0118017,0.8272926,2.352843,27.82008,0.01298187,0.90992646,2.5881273,30.600468,0.013099887,0.9181898460000001,2.61165573,30.878506800000004
18.5,0.013113,18.5,0.918155,18.5,2.61427,18.5,30.9514,0.0118017,0.8278651,2.352843,27.83562,0.01298187,0.91084231,2.5881273,30.616601999999997,0.013099887,0.919140031,2.61165573,30.8947002
18.75,0.013113,18.75,0.919108,18.75,2.61475,18.75,30.9313,0.0118017,0.8264348000000001,2.352891,27.85425,0.01298187,0.9089829800000001,2.5881321,30.641685,0.013099887,0.917237798,2.61165621,30.9204285
19.0,0.013113,19.0,0.919585,19.0,2.61808,19.0,30.9533,0.0118017,0.8272449000000001,2.353608,27.84037,0.01298187,0.90992169,2.5886358,30.622207,0.013099887,0.9181893690000001,2.61213858,30.900390700000003
